Index,Initial x,Initial vy,Jacobi Constant,Period,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
2178,0.9644399533066366,-1.033169293158958,2.9238550196051123,18.985572419142756,8844.054815395342,(17688.01322101787+0j),(0.9998284749772991+0j),(1.0001715603215258+0j),(5.6535154070702255e-05+0j),(-3.809209892725287+0j),(-0.26252163261689165+0j)
2179,0.9645762407186859,-1.0363888460983226,2.9232516341719297,19.004505554605426,8815.74969403368,(17631.412289846383+0j),(0.9998302770973464+0j),(1.0001697560578446+0j),(5.671667401659333e-05+0j),(-3.803674002319008+0j),(-0.2629037082069394+0j)
2180,0.9647126325294955,-1.0396378464769163,2.9226427468260523,19.0234185547708,8788.06360372439,(17576.117029514753+0j),(0.9998554660382283+0j),(1.0001445691945567+0j),(5.6895355355261686e-05+0j),(-3.7963137659732107+0j),(-0.26341342198314427+0j)
2181,0.9648491343054971,-1.04291689953473,2.9220282184473048,19.042310794268456,8761.072689139415,(17522.13026216197+0j),(1.000170727224829+0j),(0.9998293041725568+0j),(5.7070637280335464e-05+0j),(-3.787115232445839+0j),(-0.26405322749368215+0j)
2182,0.9649857515942231,-1.0462266251842967,2.9214079059501623,19.06118162380412,8734.813753602542,(17469.454981893177+0j),(1.000223322244212+0j),(0.9997767123996075+0j),(5.724220524245495e-05+0j),(-3.7760644328171313+0j),(-0.2648259895483387+0j)
2183,0.9651224899215387,-1.049567658415217,2.9207816621401013,19.08003036907586,8709.117847741149,(17418.09434062492+0j),(1.0001858569969462+0j),(0.9998141762857181+0j),(5.74110960936991e-05+0j),(-3.7631473650508447+0j),(-0.2657350092923564+0j)
2184,0.9652593547888446,-1.0529406497133798,2.9201493355631847,19.0988563296315,8684.025846851357,(17368.051636125732+0j),(1.0001610256102031+0j),(0.9998390070915297+0j),(5.7577007458122696e-05+0j),(-3.7483499756217653+0j),(-0.2667840533899671+0j)
2185,0.9653963516705231,-1.0563462655015023,2.919510770349131,19.11765877765915,8659.73912202337,(17319.330330987534+0j),(1.0002157684213153+0j),(0.999784266724091+0j),(5.773846008770281e-05+0j),(-3.731658137463352+0j),(-0.26797738784789343+0j)
2186,0.9655334860105329,-1.0597851885763923,2.9188658060485837,19.136436956725053,8635.96704597002,(17271.934034042642+0j),(0.9998673146920246+0j),(1.0001327187819753+0j),(5.7897726274448776e-05+0j),(-3.7130576224392406+0j),(-0.26931981717207704+0j)
2187,0.9656707632190384,-1.0632581185627894,2.918214277464592,19.155190080441127,8612.938751141237,(17225.866536029534+0j),(1.000185110946312+0j),(0.9998149216194585+0j),(5.805219520674954e-05+0j),(-3.6925340699251996+0j),(-0.27081672940230317+0j)
2188,0.9658081886689636,-1.0667657723830932,2.9175560144757284,19.17391733105862,8590.584950888764,(17181.131745810344+0j),(1.000199778941318+0j),(0.9998002536201204+0j),(5.8203254441023885e-05+0j),(-3.6700729475584435+0j),(-0.2724741481460812+0j)
2189,0.9659457676914281,-1.070308884717107,2.9168908418545167,19.192617858003192,8568.989066537817,(17137.73374240305+0j),(1.0002020191299859+0j),(0.999798013559873+0j),(5.8349940444535526e-05+0j),(-3.645659506704027+0j),(-0.2742987923531193+0j)
2190,0.9660835055713254,-1.0738882084822352,2.9162185790778876,19.211290776324745,8547.838409605425,(17095.67676071653+0j),(0.9998486187790494+0j),(1.0001514136074938+0j),(5.8494632949395945e-05+0j),(-3.619278728854331+0j),(-0.2762981452764474+0j)
2191,0.9662214075432768,-1.0775045153410148,2.915539040128793,19.229935165051575,8527.528171258158,(17054.965155036814+0j),(1.0001914800831837+0j),(0.9998085544546709+0j),(5.863363822170539e-05+0j),(-3.5909152629397023+0j),(-0.27848053401475586+0j)
2192,0.9663594787856343,-1.081158596179313,2.9148520332917887,19.248550065487432,8507.801755155275,(17015.603451540963+0j),(0.9998620966812745+0j),(1.0001379364682321+0j),(5.876971406719894e-05+0j),(-3.5605533516586285+0j),(-0.2808552214379807+0j)
2193,0.9664977244154794,-1.0848512616255221,2.914157360941413,19.267134479392443,8488.798169991831,(16977.596281082508+0j),(1.0001775848861643+0j),(0.9998224482962548+0j),(5.890167322969138e-05+0j),(-3.528176742811011+0j),(-0.2834325128590364+0j)
