,Initial x,Initial z,Initial vy,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
34,0.988016209920026,-0.0028572260655739,-2.9152706836994806,4.301878010706417,2.943449357998807,1.0002199234855853,(0.014278551322163342+0.9998980448188252j),(0.014278551322163342-0.9998980448188252j),(0.9792472142920319+0j),(0.999952333056045+0.009711716896382564j),(0.999952333056045-0.009711716896382564j),(1.0211936055064015+0j)
35,0.9880162169797236,-0.002857028769389,-2.915370694386556,4.301878016280537,2.9434493570191265,1.0001777091299258,(0.014268366329877605+0.9998982212144794j),(0.014268366329877605-0.9998982212144794j),(0.9813511916283533+0j),(0.988969912285849+0j),(1.0190310865564336+0j),(1.0111257048565627+0j)
36,0.9880162240366708,-0.0028568314987747,-2.9154707023966853,4.301878021310533,2.9434493561148827,1.0001603457352486,(0.014252138247334498+0.9998983380925242j),(0.014252138247334498-0.9998983380925242j),(0.9822517673089176+0j),(0.9999907614973242+0.0066067242785045385j),(0.9999907614973242-0.0066067242785045385j),(1.018042230762843+0j)
37,0.9880162310908224,-0.0028566342519865,-2.9155707086218743,4.3018780262157446,2.9434493552482355,1.000126812413682,(0.014250780625279756+0.9998984836404081j),(0.014250780625279756-0.9998984836404081j),(0.9841980938827863+0.002307260258675372j),(0.9841980938827863-0.002307260258675372j),(1.0160503360601123+0.0022915516908151314j),(1.0160503360601123-0.0022915516908151314j)
38,0.9880162381422212,-0.0028564370279788,-2.915670713589796,4.301878030972853,2.9434493544214977,1.000100210308799,(0.01424112225390734+0.9998985415903832j),(0.01424112225390734-0.9998985415903832j),(0.9859418965569551+0.0013760072425399261j),(0.9859418965569551-0.0013760072425399261j),(1.0142559028240923+0.0018299352376515681j),(1.0142559028240923-0.0018299352376515681j)
39,0.9880162451908444,-0.0028562398260844,-2.9157707176413665,4.301878035766777,2.943449353617922,1.0001042945096974,(0.014236389100522119+0.9998986433076549j),(0.014236389100522119-0.9998986433076549j),(0.985658238005603+0.00248489280051611j),(0.985658238005603-0.00248489280051611j),(1.0145438203618191+0.002650399604593096j),(1.0145438203618191-0.002650399604593096j)
40,0.9880162522366878,-0.0028560426458603,-2.9158707210013968,4.301878040676776,2.943449352830468,1.0000805222192637,(0.014229833824622912+0.9998987512652234j),(0.014229833824622912-0.9998987512652234j),(0.9873879504597742+0.001981256214366732j),(0.9873879504597742-0.001981256214366732j),(1.0127694227596273+0.001689665952745907j),(1.0127694227596273-0.001689665952745907j)
41,0.9880162592797628,-0.0028558454869915,-2.915970723828002,4.301878045702889,2.9434493520590888,1.0001080450626814,(0.01422877802924873+0.9998988168912077j),(0.01422877802924873-0.9998988168912077j),(0.9854032852130985+0.002986095231689631j),(0.9854032852130985-0.002986095231689631j),(1.0148039390352395+0.0030245953622343425j),(1.0148039390352395-0.0030245953622343425j)
42,0.9880162663200894,-0.002855648349253,-2.916070726232798,4.301878050801594,2.943449351307727,1.0001010378114148,(0.014224772551004492+0.9998988632921929j),(0.014224772551004492-0.9998988632921929j),(0.9858804186896424+0.003117661968912794j),(0.9858804186896424-0.003117661968912794j),(1.0143119776451093+0.0030850289189113217j),(1.0143119776451093-0.0030850289189113217j)
43,0.9880162733576514,-0.0028554512324814,-2.916170728299162,4.301878056059984,2.9434493505685886,1.0000612036996048,(0.01421653735150918+0.9998988903979646j),(0.01421653735150918-0.9998988903979646j),(0.9889972466722747+0j),(0.9907155140323686+0j),(1.010247404045333+0.0005035165218263323j),(1.010247404045333-0.0005035165218263323j)
